Index,O,N,B,S,P,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target
29.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,69.1
30.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,60.1
31.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,56.4
32.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,47.4
33.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,40.9
34.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,34.2
35.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,19.8
36.0,17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,9.5
37.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,136.3
38.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,126.4
39.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,120.3
40.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,112.6
41.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,108.4
42.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,100.4
43.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,94.5
44.0,16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,86.5
53.0,8.2,5.3,0.0,0.0,0.0,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.1,136.8
54.0,8.2,5.3,0.0,0.0,0.0,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.5,110.9
55.0,8.2,5.3,0.0,0.0,0.0,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,1.0,102.6
56.0,8.2,5.3,0.0,0.0,0.0,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,5.0,76.1
57.0,8.2,5.3,0.0,0.0,0.0,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,10.0,66.5
58.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.05,109.66
59.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.1,93.3
60.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.2,84.6
61.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.3,81.0
62.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.5,76.3
63.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,1.0,71.6
64.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,2.0,67.6
65.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,3.0,65.1
66.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,5.0,62.4
67.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,10.0,59.5
68.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,15.0,58.4
69.0,5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,20.0,57.1
70.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,133.7
71.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,102.5
72.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,84.3
73.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,75.0
74.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,69.1
75.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,61.7
76.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,56.6
77.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,51.9
78.0,11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,45.6
81.0,14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,104.4
82.0,14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,83.0
83.0,14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,69.7
84.0,14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,61.7
85.0,14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,56.0
86.0,14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,50.4
