Current density,Specific surface area,N,Active mass loading,Pore volume,O,Rmic/mes,ID/IG,target
0.1,1546.1,3.52,1.0,0.5753,7.15,14.558,1.029,85.0
0.1,1315.2,3.79,1.0,0.5116,8.12,9.33,1.038,114.0
0.1,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,90.2
0.25,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,86.3
0.5,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,79.9
1.0,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,70.3
2.0,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,64.8
5.0,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,51.5
10.0,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,38.5
20.0,1140.8,3.29,2.5,0.86,21.55,0.157,0.82,23.3
0.1,508.0,3.01,2.5,0.34,17.66,0.099,0.86,69.1
0.25,508.0,3.01,2.5,0.34,17.66,0.099,0.86,60.1
0.5,508.0,3.01,2.5,0.34,17.66,0.099,0.86,56.4
1.0,508.0,3.01,2.5,0.34,17.66,0.099,0.86,47.4
2.0,508.0,3.01,2.5,0.34,17.66,0.099,0.86,40.9
5.0,508.0,3.01,2.5,0.34,17.66,0.099,0.86,34.2
10.0,508.0,3.01,2.5,0.34,17.66,0.099,0.86,19.8
20.0,508.0,3.01,2.5,0.34,17.66,0.099,0.86,9.5
0.1,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,136.3
0.25,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,126.4
0.5,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,120.3
1.0,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,112.6
2.0,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,108.4
5.0,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,100.4
10.0,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,94.5
20.0,1384.7,2.82,2.5,0.97,16.08,0.17,0.89,86.5
0.1,879.0,5.3,1.0,0.447,8.2,1.54,2.27,136.8
0.5,879.0,5.3,1.0,0.447,8.2,1.54,2.27,110.9
1.0,879.0,5.3,1.0,0.447,8.2,1.54,2.27,102.6
5.0,879.0,5.3,1.0,0.447,8.2,1.54,2.27,76.1
10.0,879.0,5.3,1.0,0.447,8.2,1.54,2.27,66.5
0.05,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,109.66
0.1,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,93.3
0.2,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,84.6
0.3,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,81.0
0.5,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,76.3
1.0,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,71.6
2.0,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,67.6
3.0,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,65.1
5.0,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,62.4
10.0,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,59.5
15.0,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,58.4
20.0,1640.1,1.49,2.0,1.41,5.68,0.489,0.95,57.1
0.1,642.0,6.7,2.0,1.03,11.5,0.17,0.964,133.7
0.2,642.0,6.7,2.0,1.03,11.5,0.17,0.964,102.5
0.5,642.0,6.7,2.0,1.03,11.5,0.17,0.964,84.3
1.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,75.0
2.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,69.1
5.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,61.7
10.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,56.6
20.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,51.9
50.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,45.6
100.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,39.7
200.0,642.0,6.7,2.0,1.03,11.5,0.17,0.964,30.6
0.1,620.0,3.1,2.0,0.86,14.9,0.178,0.962,104.4
0.2,620.0,3.1,2.0,0.86,14.9,0.178,0.962,83.0
0.5,620.0,3.1,2.0,0.86,14.9,0.178,0.962,69.7
1.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,61.7
2.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,56.0
5.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,50.4
10.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,46.6
20.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,43.7
50.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,39.1
100.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,35.4
200.0,620.0,3.1,2.0,0.86,14.9,0.178,0.962,30.4
0.1,697.0,4.2,2.0,0.83,11.2,0.277,0.958,92.4
0.2,697.0,4.2,2.0,0.83,11.2,0.277,0.958,73.1
0.5,697.0,4.2,2.0,0.83,11.2,0.277,0.958,62.4
1.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,56.0
2.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,51.3
5.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,45.7
10.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,42.3
20.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,38.9
50.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,33.3
100.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,28.7
200.0,697.0,4.2,2.0,0.83,11.2,0.277,0.958,27.2
0.1,1530.9,8.29,2.4,0.96,12.04,0.627,0.86,204.7
0.2,1530.9,8.29,2.4,0.96,12.04,0.627,0.86,181.5
0.5,1530.9,8.29,2.4,0.96,12.04,0.627,0.86,165.9
1.0,1530.9,8.29,2.4,0.96,12.04,0.627,0.86,152.7
2.0,1530.9,8.29,2.4,0.96,12.04,0.627,0.86,141.1
5.0,1530.9,8.29,2.4,0.96,12.04,0.627,0.86,134.2
10.0,1530.9,8.29,2.4,0.96,12.04,0.627,0.86,128.6
0.1,544.83,3.95,2.0,0.26,20.61,4.783,0.96,134.5
0.2,544.83,3.95,2.0,0.26,20.61,4.783,0.96,110.2
0.4,544.83,3.95,2.0,0.26,20.61,4.783,0.96,93.0
0.5,544.83,3.95,2.0,0.26,20.61,4.783,0.96,86.7
1.0,544.83,3.95,2.0,0.26,20.61,4.783,0.96,72.9
2.0,544.83,3.95,2.0,0.26,20.61,4.783,0.96,57.0
3.0,544.83,3.95,2.0,0.26,20.61,4.783,0.96,48.0
4.0,544.83,3.95,2.0,0.26,20.61,4.783,0.96,41.5
0.1,648.22,3.51,2.0,0.32,18.15,4.516,1.01,156.54
0.2,648.22,3.51,2.0,0.32,18.15,4.516,1.01,132.3
0.3,648.22,3.51,2.0,0.32,18.15,4.516,1.01,111.55
0.4,648.22,3.51,2.0,0.32,18.15,4.516,1.01,105.4
0.5,648.22,3.51,2.0,0.32,18.15,4.516,1.01,98.5
1.0,648.22,3.51,2.0,0.32,18.15,4.516,1.01,86.8
2.0,648.22,3.51,2.0,0.32,18.15,4.516,1.01,70.5
3.0,648.22,3.51,2.0,0.32,18.15,4.516,1.01,59.2
4.0,648.22,3.51,2.0,0.32,18.15,4.516,1.01,51.8
0.1,225.22,1.8,2.0,0.1,15.17,6.714,1.08,84.5
0.2,225.22,1.8,2.0,0.1,15.17,6.714,1.08,63.4
0.4,225.22,1.8,2.0,0.1,15.17,6.714,1.08,50.7
0.5,225.22,1.8,2.0,0.1,15.17,6.714,1.08,45.0
1.0,225.22,1.8,2.0,0.1,15.17,6.714,1.08,34.5
2.0,225.22,1.8,2.0,0.1,15.17,6.714,1.08,24.5
3.0,225.22,1.8,2.0,0.1,15.17,6.714,1.08,19.7
4.0,225.22,1.8,2.0,0.1,15.17,6.714,1.08,17.0
0.2,2228.0,0.0,2.0,1.07,11.92,1.488,1.5,153.0
0.5,2228.0,0.0,2.0,1.07,11.92,1.488,1.5,125.0
1.0,2228.0,0.0,2.0,1.07,11.92,1.488,1.5,110.0
2.0,2228.0,0.0,2.0,1.07,11.92,1.488,1.5,98.0
5.0,2228.0,0.0,2.0,1.07,11.92,1.488,1.5,84.0
10.0,2228.0,0.0,2.0,1.07,11.92,1.488,1.5,75.0
0.5,947.0,2.53,1.5,0.54,5.5,1.0,0.855,117.9
20.0,947.0,2.53,1.5,0.54,5.5,1.0,0.855,71.0
0.5,1175.0,0.0,1.5,0.71,3.67,1.367,0.858,136.2
20.0,1175.0,0.0,1.5,0.71,3.67,1.367,0.858,75.9
0.5,899.0,2.37,1.5,0.52,10.41,0.576,0.856,165.9
20.0,899.0,2.37,1.5,0.52,10.41,0.576,0.856,110.9
0.1,1624.0,3.44,2.0,0.918,9.64,1.878,0.999,119.9
0.2,1624.0,3.44,2.0,0.918,9.64,1.878,0.999,108.3
0.5,1624.0,3.44,2.0,0.918,9.64,1.878,0.999,100.2
1.0,1624.0,3.44,2.0,0.918,9.64,1.878,0.999,94.6
2.0,1624.0,3.44,2.0,0.918,9.64,1.878,0.999,90.4
5.0,1624.0,3.44,2.0,0.918,9.64,1.878,0.999,84.8
20.0,1624.0,3.44,2.0,0.918,9.64,1.878,0.999,81.1
0.1,1949.0,1.64,2.0,1.133,8.42,0.845,0.917,159.9
0.2,1949.0,1.64,2.0,1.133,8.42,0.845,0.917,139.2
0.5,1949.0,1.64,10.0,1.133,8.42,0.845,0.917,124.8
1.0,1949.0,1.64,10.0,1.133,8.42,0.845,0.917,116.0
2.0,1949.0,1.64,10.0,1.133,8.42,0.845,0.917,109.9
5.0,1949.0,1.64,10.0,1.133,8.42,0.845,0.917,101.9
20.0,1949.0,1.64,10.0,1.133,8.42,0.845,0.917,94.0
0.1,2276.0,0.89,2.0,1.331,5.52,0.265,0.872,114.2
0.2,2276.0,0.89,2.0,1.331,5.52,0.265,0.872,104.8
0.5,2276.0,0.89,2.0,1.331,5.52,0.265,0.872,95.6
1.0,2276.0,0.89,2.0,1.331,5.52,0.265,0.872,90.0
2.0,2276.0,0.89,2.0,1.331,5.52,0.265,0.872,86.8
5.0,2276.0,0.89,2.0,1.331,5.52,0.265,0.872,82.4
20.0,2276.0,0.89,2.0,1.331,5.52,0.265,0.872,78.5
0.5,500.0,0.0,1.2,0.315,7.71,1.645,0.97,48.3
1.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,43.4
2.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,38.9
3.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,36.5
4.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,34.8
5.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,33.2
7.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,30.2
10.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,26.7
15.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,24.7
20.0,500.0,0.0,1.2,0.315,7.71,1.645,0.97,21.6
0.5,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,177.7
1.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,148.5
2.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,135.5
3.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,127.9
4.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,122.1
5.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,117.0
7.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,107.5
10.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,102.9
15.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,91.3
20.0,1020.0,0.0,1.2,0.721,8.06,1.36,1.1,85.5
0.5,950.0,0.0,1.2,0.784,9.3,1.143,1.18,108.2
1.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,96.6
2.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,86.9
3.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,82.0
4.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,78.7
5.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,75.2
7.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,72.0
10.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,67.1
15.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,60.5
20.0,950.0,0.0,1.2,0.784,9.3,1.143,1.18,57.0
0.05,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,108.5
0.1,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,85.9
0.2,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,73.1
0.3,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,68.7
0.5,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,65.0
1.0,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,60.8
2.0,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,55.3
3.0,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,52.7
5.0,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,49.2
10.0,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,44.5
15.0,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,41.6
20.0,2465.9,1.59,2.0,1.29,6.99,1.115,0.912,41.6
0.2,3082.0,1.93,1.5,1.42,7.87,1.152,1.72,142.7
0.5,3082.0,1.93,1.5,1.42,7.87,1.152,1.72,125.0
1.0,3082.0,1.93,1.5,1.42,7.87,1.152,1.72,109.6
2.0,3082.0,1.93,1.5,1.42,7.87,1.152,1.72,97.2
3.0,3082.0,1.93,1.5,1.42,7.87,1.152,1.72,89.9
5.0,3082.0,1.93,1.5,1.42,7.87,1.152,1.72,82.7
0.1,844.0,9.7,1.0,0.41,3.9,3.419,0.99,189.4
0.2,844.0,9.7,1.0,0.41,3.9,3.419,0.99,154.5
0.5,844.0,9.7,1.0,0.41,3.9,3.419,0.99,131.5
1.0,844.0,9.7,1.0,0.41,3.9,3.419,0.99,130.4
2.0,844.0,9.7,1.0,0.41,3.9,3.419,0.99,117.9
3.0,844.0,9.7,1.0,0.41,3.9,3.419,0.99,112.3
4.0,844.0,9.7,1.0,0.41,3.9,3.419,0.99,107.7
5.0,844.0,9.7,1.0,0.41,3.9,3.419,0.99,104.9
7.0,844.0,9.7,1.0,0.41,3.9,3.419,0.99,102.2
10.0,844.0,9.7,1.0,0.41,3.9,3.419,0.99,100.3
0.2,972.4,1.09,2.5,1.67,4.81,0.21,0.82,104.9
0.5,972.4,1.09,2.5,1.67,4.81,0.21,0.82,91.0
1.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,84.9
2.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,78.2
3.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,74.2
4.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,70.8
5.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,68.5
10.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,60.3
15.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,56.5
20.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,52.1
30.0,972.4,1.09,2.5,1.67,4.81,0.21,0.82,44.8
0.2,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,132.9
0.5,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,114.4
1.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,108.9
2.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,99.4
3.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,95.6
4.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,91.1
5.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,89.9
10.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,83.3
15.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,80.8
20.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,76.6
30.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,73.3
40.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,68.8
50.0,1666.8,1.74,2.5,2.42,4.89,0.136,0.88,65.2
0.2,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,67.8
0.5,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,59.8
1.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,56.8
2.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,53.2
3.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,51.7
4.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,49.9
5.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,49.2
10.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,45.5
15.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,43.7
20.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,41.1
30.0,1301.6,2.75,2.5,3.04,6.42,0.074,0.92,37.4
0.05,2085.1,0.0,2.0,1.72,11.57,0.194,0.86,181.67
0.1,2085.1,0.0,2.0,1.72,11.57,0.194,0.86,132.7
0.2,2085.1,0.0,2.0,1.72,11.57,0.194,0.86,116.9
0.3,2085.1,0.0,2.0,1.72,11.57,0.194,0.86,106.1
0.5,2085.1,0.0,2.0,1.72,11.57,0.194,0.86,98.3
1.0,2085.1,0.0,2.0,1.72,11.57,0.194,0.86,91.1
