Index,O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target,Dopants
14.0,7.15,3.52,1546.1,0.5753,14.558,1.029,2M ZnSO4,carbon cloth,1.0,1.6,0.1,85.0,0
15.0,8.12,3.79,1315.2,0.5116,9.33,1.038,2M ZnSO4,carbon cloth,1.0,1.6,0.1,114.0,1
21.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,90.2,0
22.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,86.3,0
23.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,79.9,0
24.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,70.3,0
25.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,64.8,0
26.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,51.5,0
27.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,38.5,0
28.0,21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,23.3,0
29.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,69.1,1
30.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,60.1,1
31.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,56.4,1
32.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,47.4,1
33.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,40.9,1
34.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,34.2,1
35.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,19.8,1
36.0,17.66,3.01,508.0,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,9.5,1
37.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,136.3,1
38.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,126.4,1
39.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,120.3,1
40.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,112.6,1
41.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,108.4,1
42.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,100.4,1
43.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,94.5,1
44.0,16.08,2.82,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,86.5,1
53.0,8.2,5.3,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.1,136.8,0
54.0,8.2,5.3,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.5,110.9,0
55.0,8.2,5.3,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,1.0,102.6,0
56.0,8.2,5.3,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,5.0,76.1,0
57.0,8.2,5.3,879.0,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,10.0,66.5,0
58.0,5.68,1.49,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.05,109.66,0
59.0,5.68,1.49,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.1,93.3,0
60.0,5.68,1.49,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.2,84.6,0
61.0,5.68,1.49,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.3,81.0,0
62.0,5.68,1.49,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.5,76.3,0
63.0,5.68,1.49,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,1.0,71.6,0
64.0,5.68,1.49,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2.0,1.6,2.0,67.6,0
