Index,O,N,B,S,P,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target
1.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,0.1,305.0
2.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,0.2,204.0
3.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,0.3,174.0
4.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,0.5,147.0
5.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,1.0,127.0
6.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,2.0,115.0
7.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,3.0,108.0
8.0,,0.0,0.0,0.0,0.0,3401.0,2.03,1.0,2.27272727272727,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,5.0,101.0
9.0,,0.0,0.0,0.0,0.0,3197.0,1.8,0.978,2.5,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,0.2,179.0
10.0,,0.0,0.0,0.0,0.0,3197.0,1.8,0.978,2.5,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,5.0,45.0
11.0,,0.0,0.0,0.0,0.0,1904.0,0.76,9.857,2.12765957446808,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,0.2,125.0
12.0,,0.0,0.0,0.0,0.0,1904.0,0.76,9.857,2.12765957446808,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.8,1.79,5.0,59.0
13.0,,0.0,0.0,0.0,0.0,320.3,0.3686,0.612,0.975,2M ZnSO4,Carbon cloth,1.0,1.6,0.1,62.0
14.0,7.15,3.52,0.0,0.0,0.0,1546.1,0.5753,14.558,1.029,2M ZnSO4,Carbon cloth,1.0,1.6,0.1,85.0
15.0,8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,9.33,1.038,2M ZnSO4,Carbon cloth,1.0,1.6,0.1,114.0
16.0,,,0.0,0.0,0.0,819.78,0.65,3.336,,2M ZnSO4,stainless-steel mesh,3.0,1.6,0.1,71.53
17.0,,,0.0,0.0,0.0,1057.53,0.94,4.657,,2M ZnSO4,stainless-steel mesh,3.0,1.6,0.1,100.69
18.0,7.67,7.09,0.0,0.0,0.0,1164.65,0.91,3.376,,2M ZnSO4,stainless-steel mesh,3.0,1.6,0.1,125.69
